Status,Database,SizeGb,RestoreMinutes,ExportMinutes,ArtifactGb,Shape,SizeBasis,SyntheticBound
exported,ltrlab552754-probe-compressible,5.0781,0,0.887,0.0349,compressible,allocated_8kb_pages,true
exported,ltrlab552754-probe-random,5.0781,0,3.306,4.9028,random,allocated_8kb_pages,false
exported,ltrlab552754-calib-5gb,5.0781,0,1.202,1.269,mixed,allocated_8kb_pages,false
exported,ltrlab552754-calib-1gb,1.0781,0,0.499,0.2538,mixed,allocated_8kb_pages,false
exported,ltrlab552754-calib-20gb,20.2031,0,3.558,5.0758,mixed,allocated_8kb_pages,false
